14.1304,-6.61366,1
14.6361,-6.80258,1
15.1313,-7.01802,1
15.6465,-7.26172,1
16.1274,-7.50739,1
16.6077,-7.7542,1
17.0879,-8.00105,1
17.5924,-8.26646,1
18.0686,-8.52092,1
18.5447,-8.77578,1
19.0197,-9.03269,1
19.5217,-9.3027,1
19.9991,-9.55505,1
20.4767,-9.80709,1
20.9808,-10.0731,1
21.4583,-10.3252,1
21.9365,-10.5761,1
22.4154,-10.8256,1
22.8943,-11.0751,1
23.3732,-11.3245,1
23.8522,-11.574,1
24.3311,-11.8234,1
24.8365,-12.0871,1
25.3136,-12.34,1
25.8163,-12.6086,1
26.2925,-12.8632,1
26.7687,-13.1178,1
27.2362,-13.3875,1
27.6875,-13.6841,1
28.1584,-14.0051,1
28.5805,-14.3418,1
29.0773,-14.6188,1
29.5702,-14.8392,1
30.049,-15.0887,1
30.4436,-15.4482,1
30.5651,-15.9651,1
30.4587,-16.5246,1
30.4423,-17.0638,1
30.3402,-17.5913,1
30.159,-18.0999,1
29.9809,-18.6411,1
29.921,-19.1764,1
29.8649,-19.7127,1
29.7926,-20.2476,1
29.7414,-20.8153,1
29.6857,-21.3524,1
29.632,-21.8897,1
29.5513,-22.423,1
29.3913,-22.9701,1
29.2646,-23.4947,1
29.0846,-24.0029,1
28.8772,-24.5339,1
28.653,-25.025,1
28.4203,-25.5123,1
28.1655,-26.0221,1
27.9104,-26.498,1
27.6561,-26.9744,1
27.4056,-27.4528,1
27.1389,-27.9565,1
26.8813,-28.4311,1
26.606,-28.9302,1
26.3482,-29.4047,1
26.0942,-29.8812,1
25.8441,-30.3598,1
25.5959,-30.8394,1
25.3446,-31.3173,1
25.0958,-31.7966,1
24.8244,-32.2979,1
24.5665,-32.7723,1
24.3081,-33.2464,1
24.0377,-33.7482,1
23.7855,-34.2257,1
23.5309,-34.7019,1
23.2739,-35.1768,1
23.0153,-35.6509,1
22.7424,-36.1513,1
22.4862,-36.6266,1
22.2172,-37.1292,1
21.963,-37.6056,1
21.6988,-38.0766,1
21.4355,-38.5481,1
21.1617,-39.048,1
20.9078,-39.5246,1
20.6559,-40.0022,1
20.3862,-40.5043,1
20.1299,-40.9797,1
19.8751,-41.4557,1
19.619,-41.9311,1
19.3646,-42.4075,1
19.112,-42.8847,1
18.8546,-43.3594,1
18.5796,-43.8587,1
18.3215,-44.333,1
18.0608,-44.8059,1
17.7964,-45.3107,1
17.5889,-45.8089,1
17.3096,-46.2709,1
17.0058,-46.7532,1
16.6932,-47.1934,1
16.3524,-47.6503,1
16.0252,-48.0799,1
15.6969,-48.5087,1
15.3677,-48.9367,1
15.0344,-49.3615,1
14.6828,-49.8102,1
14.3496,-50.2351,1
14.0192,-50.6623,1
13.6887,-51.0894,1
13.3032,-51.5071,1
12.8186,-51.7281,1
12.2887,-51.6535,1
11.7653,-51.5257,1
11.231,-51.4535,1
10.7215,-51.2752,1
10.2018,-51.1288,1
9.70718,-50.9129,1
9.18794,-50.6779,1
8.70406,-50.4382,1
8.20039,-50.1715,1
7.72996,-49.9064,1
7.26464,-49.6324,1
6.8042,-49.3503,1
6.34225,-49.0706,1
5.87191,-48.8058,1
5.37621,-48.5916,1
4.8557,-48.3593,1
4.37158,-48.1202,1
3.88934,-47.8773,1
3.37645,-47.6286,1
2.8876,-47.3992,1
2.40524,-47.1565,1
1.89485,-46.9027,1
1.40964,-46.6657,1
0.921625,-46.4345,1
0.437357,-46.1956,1
-0.0731452,-45.9421,1
-0.556314,-45.701,1
-1.04064,-45.4622,1
-1.52683,-45.2272,1
-2.00846,-44.983,1
-2.48855,-44.7358,1
-2.99728,-44.4787,1
-3.47826,-44.2333,1
-3.9718,-44.0143,1
-4.47974,-43.7557,1
-4.95789,-43.5048,1
-5.43443,-43.2508,1
-5.91295,-43.0006,1
-6.37458,-42.7213,1
-6.82144,-42.4182,1
-7.30557,-42.1174,1
-7.77222,-41.8457,1
